Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Pt_Chr0100151	specific	438318	1	54	1.18237e-27	104.953	cd16656	RING-Ubox_PRP19	 - 	cl17238
Pt_Chr0100154	specific	463443	237	577	5.63163e-137	402.102	pfam12043	DUF3527	 - 	cl13476
Pt_Chr0100155	specific	185418	2	140	2.81835e-91	260.427	PTZ00054	PTZ00054	 - 	cl00328
Pt_Chr0100159	specific	460939	303	351	1.93997e-08	50.2851	pfam03478	DUF295	 - 	cl38126
Pt_Chr0100163	superfamily	444663	9	67	0.000162393	38.4067	cl00033	AP2 superfamily	 - 	 - 
Pt_Chr0100165	specific	340975	49	585	0	642.396	cd17417	MFS_NPF5	 - 	cl28910
Pt_Chr0100171	superfamily	215641	199	359	0.00775486	38.6899	cl33668	PLN03237 superfamily	N	 - 
Pt_Chr0100173	superfamily	473069	465	547	2.9899e-23	93.7656	cl17169	RRM_SF superfamily	 - 	 - 
Pt_Chr0100173	superfamily	273727	303	580	1.72713e-16	82.6337	cl36941	U2AF_lg superfamily	C	 - 
Pt_Chr0100173	superfamily	173412	6	244	8.2376e-05	45.9023	cl31754	PTZ00121 superfamily	NC	 - 
Pt_Chr0100174	specific	187708	942	1073	4.75971e-45	158.499	cd09612	Jacalin	 - 	cl03205
Pt_Chr0100174	superfamily	395745	170	418	4.65569e-42	154.459	cl26397	NB-ARC superfamily	 - 	 - 
Pt_Chr0100174	specific	271353	6	132	1.69144e-28	111.175	cd14798	RX-CC_like	 - 	cl36576
Pt_Chr0100174	specific	443914	502	817	2.8378e-17	85.7557	COG4886	LRR	C	cl34836
Pt_Chr0100175	specific	466392	115	397	1.12009e-46	160.211	pfam20241	DUF6598	 - 	cl48408
Pt_Chr0100177	superfamily	471961	2	68	3.41591e-07	45.4516	cl10013	Glycosyltransferase_GTB-type superfamily	C	 - 
Pt_Chr0100178	superfamily	471961	1	124	9.13888e-06	43.5076	cl10013	Glycosyltransferase_GTB-type superfamily	NC	 - 
Pt_Chr0100179	superfamily	471961	1	97	1.74346e-38	133.644	cl10013	Glycosyltransferase_GTB-type superfamily	N	 - 
Pt_Chr0100181	superfamily	178245	28	335	6.24977e-59	193.839	cl31913	PLN02639 superfamily	 - 	 - 
Pt_Chr0100182	specific	350707	52	264	2.56572e-109	327.236	cd17949	DEADc_DDX31	 - 	cl28899
Pt_Chr0100182	specific	440279	39	504	1.1313e-105	325.563	COG0513	SrmB	 - 	cl33924
Pt_Chr0100182	specific	464056	519	579	1.33978e-16	73.97	pfam13959	DUF4217	 - 	cl16500
Pt_Chr0100183	specific	462067	48	124	3.81e-15	65.2548	pfam07019	EMC6	 - 	cl06182
Pt_Chr0100184	specific	467646	194	261	1.74432e-10	56.0524	cd23784	RWD_Spc25	 - 	cl45901
Pt_Chr0100186	specific	427493	257	364	1.00073e-18	80.6946	pfam03763	Remorin_C	 - 	cl23741
Pt_Chr0100187	superfamily	355048	6	381	2.06548e-84	266.155	cl23789	PLN02481 superfamily	 - 	 - 
Pt_Chr0100189	superfamily	473075	1	29	1.30329e-09	51.2184	cl17238	RING_Ubox superfamily	N	 - 
Pt_Chr0100193	superfamily	471961	4	452	1.05892e-109	331.619	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Pt_Chr0100195	superfamily	355048	7	401	4.11108e-92	285.801	cl23789	PLN02481 superfamily	 - 	 - 
Pt_Chr0100196	superfamily	460564	5	432	1.218e-41	152.984	cl30041	Transferase superfamily	 - 	 - 
Pt_Chr0100197	superfamily	355048	7	233	4.24084e-57	187.96	cl23789	PLN02481 superfamily	C	 - 
Pt_Chr0100198	superfamily	215061	38	923	6.92108e-153	476.262	cl33413	PLN00113 superfamily	 - 	 - 
Pt_Chr0100200	specific	425605	124	159	2.24764e-14	65.0321	pfam00320	GATA	 - 	cl29608
Pt_Chr0100202	superfamily	452742	69	408	1.59899e-103	312.946	cl27418	Branch superfamily	 - 	 - 
Pt_Chr0100203	superfamily	177816	109	301	8.98247e-15	73.8798	cl31834	PLN02156 superfamily	N	 - 
Pt_Chr0100204	specific	425605	113	148	2.398e-14	64.6469	pfam00320	GATA	 - 	cl29608
Pt_Chr0100206	superfamily	215061	38	1010	0	560.621	cl33413	PLN00113 superfamily	 - 	 - 
Pt_Chr0100208	superfamily	471961	18	465	1.92424e-121	362.05	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Pt_Chr0100209	superfamily	473075	107	136	9.87993e-06	42.5674	cl17238	RING_Ubox superfamily	N	 - 
Pt_Chr0100209	specific	438112	12	46	0.00321518	35.0698	cd16448	RING-H2	 - 	cl17238
Pt_Chr0100211	superfamily	471961	22	463	1.75157e-120	359.353	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Pt_Chr0100213	specific	397245	127	469	9.20547e-92	283.933	pfam03016	Exostosin	 - 	cl20239
Pt_Chr0100214	specific	397245	633	967	1.90976e-88	285.859	pfam03016	Exostosin	 - 	cl20239
Pt_Chr0100214	specific	397245	115	458	1.89774e-73	245.028	pfam03016	Exostosin	 - 	cl20239
Pt_Chr0100215	superfamily	473306	151	347	2.70526e-22	96.3408	cl20239	RXYLT1-like superfamily	C	 - 
Pt_Chr0100216	superfamily	464352	276	704	1.81404e-79	268.094	cl20765	DUF4487 superfamily	 - 	 - 
Pt_Chr0100217	superfamily	215574	1	1152	0	1876.95	cl47077	PIR superfamily	 - 	 - 
Pt_Chr0100218	specific	464133	715	879	2.18293e-32	123.202	pfam14309	DUF4378	 - 	cl16789
Pt_Chr0100218	specific	432630	178	222	7.47546e-20	83.3804	pfam12552	DUF3741	 - 	cl13927
Pt_Chr0100219	specific	341097	11	108	3.3374e-40	133.957	cd17015	ING_plant	 - 	cl28919
Pt_Chr0100219	superfamily	227367	4	238	1.03055e-31	117.346	cl34876	TNG2 superfamily	 - 	 - 
Pt_Chr0100220	specific	239460	35	555	0	869.852	cd03344	GroEL	 - 	cl02777
Pt_Chr0100221	superfamily	178532	47	557	0	695.525	cl31958	PLN02946 superfamily	 - 	 - 
Pt_Chr0100222	superfamily	215393	1	155	1.2228e-65	210.539	cl27763	PLN02738 superfamily	NC	 - 
Pt_Chr0100224	specific	433612	2	54	1.74927e-22	84.6317	pfam13966	zf-RVT	N	cl16506
Pt_Chr0100225	specific	173795	120	599	7.51671e-134	400.436	cd04852	Peptidases_S8_3	 - 	cl10459
Pt_Chr0100225	specific	239035	366	494	1.26123e-34	128.3	cd02120	PA_subtilisin_like	 - 	cl28883
Pt_Chr0100225	specific	465493	681	769	7.51553e-28	107.671	pfam17766	fn3_6	 - 	cl05663
Pt_Chr0100225	specific	428674	37	123	3.93787e-19	82.3417	pfam05922	Inhibitor_I9	 - 	cl05470
Pt_Chr0100226	specific	443104	351	474	4.63217e-19	86.0917	COG3897	Nnt1	NC	cl43977
Pt_Chr0100226	specific	400515	77	178	2.02796e-16	74.7117	pfam08242	Methyltransf_12	 - 	cl17173
Pt_Chr0100227	specific	214853	2	58	1.18954e-12	56.483	smart00848	Inhibitor_I29	 - 	cl47047
Pt_Chr0100228	specific	461828	21	550	0	978.638	pfam06101	Vps62	 - 	cl05569
Pt_Chr0100229	superfamily	188098	228	1484	0	937.059	cl33195	MRP_assoc_pro superfamily	 - 	 - 
Pt_Chr0100232	superfamily	215570	15	116	4.50604e-49	167.461	cl33633	PLN03091 superfamily	C	 - 
Pt_Chr0100233	specific	238743	258	426	1.01627e-54	184.516	cd01466	vWA_C3HC4_type	 - 	cl00057
Pt_Chr0100233	specific	464221	601	674	8.22748e-22	89.594	pfam14624	Vwaint	 - 	cl20594
Pt_Chr0100233	specific	438476	86	135	4.89608e-20	84.1689	cd23114	RING-H2_WAVH2	 - 	cl17238
Pt_Chr0100234	specific	238743	168	339	4.07293e-53	179.508	cd01466	vWA_C3HC4_type	 - 	cl00057
Pt_Chr0100234	specific	438476	7	59	7.34136e-20	83.3985	cd23114	RING-H2_WAVH2	 - 	cl17238
Pt_Chr0100234	specific	464221	516	572	3.77618e-14	67.6377	pfam14624	Vwaint	 - 	cl20594
Pt_Chr0100235	superfamily	476817	1	559	0	806.944	cl38930	AmyAc_family superfamily	 - 	 - 
Pt_Chr0100236	specific	177784	1	158	9.25772e-102	288.932	PLN00190	PLN00190	 - 	cl29891
Pt_Chr0100237	specific	464058	59	443	2.03593e-79	256.52	pfam13968	DUF4220	 - 	cl16508
Pt_Chr0100237	specific	461358	651	705	1.57621e-22	91.0583	pfam04578	DUF594	 - 	cl04605
Pt_Chr0100239	specific	442196	259	355	1.35e-05	46.2607	COG2956	LapB	NC	cl34526
Pt_Chr0100241	specific	443813	189	298	1.69482e-08	52.5016	COG4783	BepA	 - 	cl34820
Pt_Chr0100242	specific	443813	189	298	3.64866e-08	51.7312	COG4783	BepA	 - 	cl34820
Pt_Chr0100244	specific	460189	324	379	3.10738e-08	50.1849	pfam01391	Collagen	 - 	cl22949
Pt_Chr0100244	superfamily	129705	404	531	0.00067057	42.6486	cl31020	sbcc superfamily	NC	 - 
Pt_Chr0100244	superfamily	223021	268	421	0.00151131	41.8477	cl33720	PHA03247 superfamily	N	 - 
Pt_Chr0100246	superfamily	472175	3	109	2.40848e-07	48.028	cl11403	pepsin_retropepsin_like superfamily	NC	 - 
Pt_Chr0100249	superfamily	483947	58	430	1.15622e-93	287.871	cl49607	ASKHA_ATPase-like superfamily	 - 	 - 
Pt_Chr0100251	superfamily	274555	41	84	7.31165e-23	91.352	cl37259	ascorbase superfamily	NC	 - 
Pt_Chr0100252	specific	133143	74	412	1.02579e-46	161.277	cd05476	pepsin_A_like_plant	 - 	cl11403
Pt_Chr0100254	superfamily	178715	1	398	6.44654e-177	498.759	cl30451	PLN03171 superfamily	 - 	 - 
Pt_Chr0100255	specific	400284	85	307	1.09722e-57	188.574	pfam07859	Abhydrolase_3	 - 	cl21494
Pt_Chr0100259	specific	410687	95	521	0	581.472	cd11064	CYP86A	 - 	cl41757
Pt_Chr0100260	specific	433576	27	52	0.00692486	32.6015	pfam13912	zf-C2H2_6	 - 	cl16471
Pt_Chr0100262	superfamily	448251	4	70	6.61788e-11	53.9627	cl11425	PSI_PSAK superfamily	C	 - 
Pt_Chr0100265	specific	410687	75	502	0	633.859	cd11064	CYP86A	 - 	cl41757
Pt_Chr0100266	specific	410687	68	506	0	632.703	cd11064	CYP86A	 - 	cl41757
Pt_Chr0100267	specific	441893	222	513	3.03925e-59	201.293	COG2319	WD40	N	cl43672
Pt_Chr0100267	specific	400774	67	131	1.73345e-34	124.164	pfam08606	Prp19	 - 	cl07284
Pt_Chr0100267	specific	438318	1	54	1.1892e-27	104.953	cd16656	RING-Ubox_PRP19	 - 	cl17238
